2026-03-06T18:42:13 | INFO     | ai_service | Database connection pool opened.
2026-03-06T18:48:54 | INFO     | ai_service | POST /predict-price → 200  (6.2 ms)
2026-03-06T18:49:17 | INFO     | ai_service | GET / → 200  (1.4 ms)
2026-03-06T18:49:47 | INFO     | ai_service | GET / → 200  (1.2 ms)
2026-03-06T18:49:58 | DEBUG    | ai_service | predict-price cache hit: (15.0, 5, 4, 'premium')
2026-03-06T18:49:58 | INFO     | ai_service | POST /predict-price → 200  (7.7 ms)
2026-03-06T18:50:07 | INFO     | ai_service | predict-driver | lat=-1.2864  lng=36.8172  type=standard
2026-03-06T18:50:08 | INFO     | ai_service | POST /predict-driver → 200  (528.0 ms)
2026-03-06T18:50:17 | INFO     | ai_service | GET / → 200  (1.2 ms)
2026-03-06T18:50:47 | INFO     | ai_service | GET / → 200  (1.6 ms)
2026-03-06T18:51:17 | INFO     | ai_service | GET / → 200  (0.9 ms)
2026-03-06T18:51:47 | INFO     | ai_service | GET / → 200  (1.1 ms)
2026-03-06T18:52:17 | INFO     | ai_service | GET / → 200  (2.7 ms)
2026-03-06T18:52:48 | INFO     | ai_service | GET / → 200  (1.6 ms)
2026-03-06T18:53:18 | INFO     | ai_service | GET / → 200  (1.5 ms)
2026-03-06T18:53:39 | INFO     | ai_service | GET /rides → 200  (3210.7 ms)
2026-03-06T18:53:41 | INFO     | ai_service | GET /trips → 200  (1684.4 ms)
2026-03-06T18:53:41 | INFO     | ai_service | POST /predict-price → 403  (2.7 ms)
2026-03-06T18:53:48 | INFO     | ai_service | GET / → 200  (1.8 ms)
2026-03-06T18:54:18 | INFO     | ai_service | GET / → 200  (1.1 ms)
2026-03-06T18:54:48 | INFO     | ai_service | GET / → 200  (1.6 ms)
2026-03-06T18:55:18 | INFO     | ai_service | GET / → 200  (0.9 ms)
2026-03-06T18:55:48 | INFO     | ai_service | GET / → 200  (1.3 ms)
2026-03-06T18:56:19 | INFO     | ai_service | GET / → 200  (1.6 ms)
2026-03-06T18:56:49 | INFO     | ai_service | GET / → 200  (1.6 ms)
2026-03-06T18:57:19 | INFO     | ai_service | GET / → 200  (1.4 ms)
2026-03-06T18:57:49 | INFO     | ai_service | GET / → 200  (0.8 ms)
2026-03-06T18:58:19 | INFO     | ai_service | GET / → 200  (1.8 ms)
2026-03-06T18:58:49 | INFO     | ai_service | GET / → 200  (1.1 ms)
2026-03-06T18:59:19 | INFO     | ai_service | GET / → 200  (1.4 ms)
2026-03-06T18:59:49 | INFO     | ai_service | GET / → 200  (2.0 ms)
2026-03-06T19:00:19 | INFO     | ai_service | GET / → 200  (1.1 ms)
2026-03-06T19:00:50 | INFO     | ai_service | GET / → 200  (1.1 ms)
2026-03-06T19:01:20 | INFO     | ai_service | GET / → 200  (1.8 ms)
2026-03-06T19:01:50 | INFO     | ai_service | GET / → 200  (1.1 ms)
2026-03-06T19:02:20 | INFO     | ai_service | GET / → 200  (0.9 ms)
2026-03-06T19:02:50 | INFO     | ai_service | GET / → 200  (5.4 ms)
2026-03-06T19:03:20 | INFO     | ai_service | GET / → 200  (1.2 ms)
2026-03-06T19:03:50 | INFO     | ai_service | GET / → 200  (0.8 ms)
2026-03-06T19:04:20 | INFO     | ai_service | GET / → 200  (2.0 ms)
2026-03-06T19:04:51 | INFO     | ai_service | GET / → 200  (1.1 ms)
2026-03-06T19:05:21 | INFO     | ai_service | GET / → 200  (1.0 ms)
2026-03-06T19:05:51 | INFO     | ai_service | GET / → 200  (2.3 ms)
2026-03-06T19:06:21 | INFO     | ai_service | GET / → 200  (1.6 ms)
2026-03-06T19:06:51 | INFO     | ai_service | GET / → 200  (3.0 ms)
2026-03-06T19:07:21 | INFO     | ai_service | GET / → 200  (2.1 ms)
2026-03-06T19:07:51 | INFO     | ai_service | GET / → 200  (1.4 ms)
2026-03-06T19:08:22 | INFO     | ai_service | GET / → 200  (1.3 ms)
2026-03-06T19:08:52 | INFO     | ai_service | GET / → 200  (1.0 ms)
2026-03-06T19:09:22 | INFO     | ai_service | GET / → 200  (2.2 ms)
2026-03-06T19:09:52 | INFO     | ai_service | GET / → 200  (2.0 ms)
2026-03-06T19:10:22 | INFO     | ai_service | GET / → 200  (1.7 ms)
2026-03-06T19:10:52 | INFO     | ai_service | GET / → 200  (0.8 ms)
2026-03-06T19:11:22 | INFO     | ai_service | GET / → 200  (2.1 ms)
2026-03-06T19:11:52 | INFO     | ai_service | GET / → 200  (3.1 ms)
2026-03-06T19:12:23 | INFO     | ai_service | GET / → 200  (6.1 ms)
2026-03-06T19:12:53 | INFO     | ai_service | GET / → 200  (2.8 ms)
2026-03-06T19:13:23 | INFO     | ai_service | GET / → 200  (2.5 ms)
2026-03-06T19:13:53 | INFO     | ai_service | GET / → 200  (2.4 ms)
2026-03-06T19:14:23 | INFO     | ai_service | GET / → 200  (1.2 ms)
2026-03-06T19:14:53 | INFO     | ai_service | GET / → 200  (2.6 ms)
2026-03-06T19:15:23 | INFO     | ai_service | GET / → 200  (2.1 ms)
2026-03-06T19:15:53 | INFO     | ai_service | GET / → 200  (4.5 ms)
2026-03-06T19:16:24 | INFO     | ai_service | GET / → 200  (3.1 ms)
2026-03-06T19:16:54 | INFO     | ai_service | GET / → 200  (1.3 ms)
2026-03-06T19:17:24 | INFO     | ai_service | GET / → 200  (1.3 ms)
2026-03-06T19:17:54 | INFO     | ai_service | GET / → 200  (1.4 ms)
2026-03-06T19:18:24 | INFO     | ai_service | GET / → 200  (1.5 ms)
2026-03-06T19:18:54 | INFO     | ai_service | GET / → 200  (1.8 ms)
2026-03-06T19:19:24 | INFO     | ai_service | GET / → 200  (1.7 ms)
2026-03-06T19:19:55 | INFO     | ai_service | GET / → 200  (14.4 ms)
2026-03-06T19:20:25 | INFO     | ai_service | GET / → 200  (1.1 ms)
2026-03-06T19:20:55 | INFO     | ai_service | GET / → 200  (1.4 ms)
2026-03-06T19:21:25 | INFO     | ai_service | GET / → 200  (1.6 ms)
2026-03-06T19:21:52 | INFO     | ai_service | Database connection pool closed.
2026-03-06T19:21:52 | INFO     | ai_service | Database connection pool closed.
2026-03-06T19:22:05 | INFO     | ai_service | Database connection pool opened.
2026-03-06T19:22:05 | INFO     | ai_service | Database connection pool opened.
2026-03-06T19:22:09 | INFO     | ai_service | Model loaded from models/price_model.pkl
2026-03-06T19:22:09 | INFO     | ai_service | Price model ready — loaded=True  path=models/price_model.pkl
2026-03-06T19:22:09 | INFO     | ai_service | Model loaded from models/price_model.pkl
2026-03-06T19:22:09 | INFO     | ai_service | Price model ready — loaded=True  path=models/price_model.pkl
2026-03-06T19:22:10 | INFO     | ai_service | Supabase public tables (67): ['activity_logs', 'ai_price_predictions', 'bookings', 'cache', 'cache_locks', 'compliance_reports', 'demand_zones', 'domain_events', 'driver_behavior_logs', 'driver_earnings', 'driver_locations', 'driver_payouts', 'driver_ratings', 'driver_status', 'driver_wallets', 'drivers', 'dw_dim_date', 'dw_dim_driver', 'dw_dim_passenger', 'dw_dim_payment_provider', 'dw_dim_region', 'dw_fact_commissions', 'dw_fact_driver_earnings', 'dw_fact_rides', 'dw_fact_transactions', 'event_outbox', 'exports', 'failed_import_rows', 'failed_jobs', 'fare_audit', 'fraud_flags', 'imports', 'job_batches', 'jobs', 'ledger_accounts', 'ledger_entries', 'ledger_transactions', 'managers', 'migrations', 'mobile_users', 'model_has_permissions', 'model_has_roles', 'notifications', 'password_reset_tokens', 'payments', 'payments_v2', 'permissions', 'personal_access_tokens', 'platform_commissions', 'predicted_demand', 'reviews', 'ride_feedback', 'ride_requests', 'rides', 'role_has_permissions', 'roles', 'route_checkpoints', 'sessions', 'system_metrics', 'tax_rules', 'tickets', 'traffic_logs', 'trips', 'user_notifications', 'users', 'vehicles', 'vehicles_v2']
